Občina,Do 2 mesecev,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,12 do 23 mesecev,24 do 35 mesecev,36 mesecev ali več,Skupaj,month,year,"do 2
mes.","3-5
mes.","6-8
mes.","9-11
mes.",12 - 23 mes.,"24-35
mes.","36 mes.
ali več"
AJDOVŠČINA,158.0,104.0,47.0,34.0,114.0,48.0,194.0,699.0,JAN,2018,,,,,,,
ANKARAN,36.0,18.0,9.0,9.0,13.0,6.0,30.0,121.0,JAN,2018,,,,,,,
APAČE,66.0,23.0,9.0,10.0,46.0,12.0,53.0,219.0,JAN,2018,,,,,,,
BELTINCI,195.0,72.0,36.0,28.0,75.0,36.0,147.0,589.0,JAN,2018,,,,,,,
BENEDIKT,39.0,14.0,5.0,4.0,16.0,3.0,6.0,87.0,JAN,2018,,,,,,,
BISTRICA OB SOTLI,12.0,5.0,4.0,6.0,4.0,4.0,14.0,49.0,JAN,2018,,,,,,,
BLED,78.0,41.0,18.0,16.0,29.0,16.0,27.0,225.0,JAN,2018,,,,,,,
BLOKE,19.0,5.0,3.0,1.0,18.0,6.0,13.0,65.0,JAN,2018,,,,,,,
BOHINJ,56.0,27.0,12.0,10.0,13.0,5.0,14.0,137.0,JAN,2018,,,,,,,
BOROVNICA,46.0,24.0,11.0,2.0,43.0,13.0,54.0,193.0,JAN,2018,,,,,,,
BOVEC,43.0,15.0,3.0,10.0,13.0,6.0,11.0,101.0,JAN,2018,,,,,,,
BRASLOVČE,53.0,34.0,18.0,19.0,26.0,10.0,43.0,203.0,JAN,2018,,,,,,,
BRDA,46.0,18.0,14.0,5.0,27.0,8.0,15.0,133.0,JAN,2018,,,,,,,
BREZOVICA,86.0,54.0,26.0,18.0,83.0,32.0,99.0,398.0,JAN,2018,,,,,,,
BREŽICE,231.0,142.0,70.0,37.0,198.0,88.0,392.0,1158.0,JAN,2018,,,,,,,
CANKOVA,41.0,15.0,5.0,5.0,18.0,13.0,43.0,140.0,JAN,2018,,,,,,,
CELJE,785.0,344.0,176.0,127.0,492.0,213.0,677.0,2814.0,JAN,2018,,,,,,,
CERKLJE NA GORENJSKEM,66.0,31.0,16.0,9.0,36.0,10.0,21.0,189.0,JAN,2018,,,,,,,
CERKNICA,124.0,60.0,29.0,22.0,83.0,43.0,83.0,444.0,JAN,2018,,,,,,,
CERKNO,21.0,11.0,8.0,6.0,16.0,5.0,13.0,80.0,JAN,2018,,,,,,,
CERKVENJAK,26.0,7.0,5.0,4.0,10.0,5.0,3.0,60.0,JAN,2018,,,,,,,
CIRKULANE,28.0,13.0,5.0,4.0,18.0,11.0,16.0,95.0,JAN,2018,,,,,,,
ČRENŠOVCI,76.0,22.0,14.0,19.0,36.0,24.0,126.0,317.0,JAN,2018,,,,,,,
ČRNA NA KOROŠKEM,32.0,14.0,7.0,4.0,10.0,8.0,28.0,103.0,JAN,2018,,,,,,,
ČRNOMELJ,145.0,80.0,55.0,26.0,108.0,68.0,395.0,877.0,JAN,2018,,,,,,,
DESTRNIK,30.0,11.0,7.0,4.0,15.0,6.0,9.0,82.0,JAN,2018,,,,,,,
DIVAČA,40.0,23.0,11.0,8.0,37.0,12.0,31.0,162.0,JAN,2018,,,,,,,
DOBJE,8.0,4.0,2.0,2.0,5.0,3.0,12.0,36.0,JAN,2018,,,,,,,
DOBREPOLJE,25.0,15.0,11.0,6.0,21.0,7.0,37.0,122.0,JAN,2018,,,,,,,
DOBRNA,18.0,15.0,2.0,3.0,8.0,4.0,11.0,61.0,JAN,2018,,,,,,,
DOBROVA-POLHOV GRADEC,44.0,31.0,11.0,13.0,41.0,14.0,39.0,193.0,JAN,2018,,,,,,,
DOBROVNIK,26.0,9.0,5.0,5.0,28.0,5.0,40.0,118.0,JAN,2018,,,,,,,
DOL PRI LJUBLJANI,52.0,20.0,23.0,6.0,42.0,15.0,50.0,208.0,JAN,2018,,,,,,,
DOLENJSKE TOPLICE,17.0,9.0,6.0,2.0,16.0,2.0,27.0,79.0,JAN,2018,,,,,,,
DOMŽALE,273.0,157.0,92.0,52.0,219.0,81.0,282.0,1156.0,JAN,2018,,,,,,,
DORNAVA,29.0,9.0,2.0,5.0,12.0,7.0,11.0,75.0,JAN,2018,,,,,,,
DRAVOGRAD,112.0,51.0,12.0,12.0,61.0,30.0,68.0,346.0,JAN,2018,,,,,,,
DUPLEK,79.0,47.0,19.0,13.0,67.0,25.0,67.0,317.0,JAN,2018,,,,,,,
GORENJA VAS-POLJANE,36.0,28.0,7.0,10.0,22.0,10.0,23.0,136.0,JAN,2018,,,,,,,
GORIŠNICA,40.0,25.0,8.0,10.0,26.0,9.0,25.0,143.0,JAN,2018,,,,,,,
GORJE,34.0,6.0,9.0,8.0,11.0,10.0,8.0,86.0,JAN,2018,,,,,,,
GORNJA RADGONA,159.0,60.0,21.0,18.0,86.0,47.0,123.0,514.0,JAN,2018,,,,,,,
GORNJI GRAD,20.0,20.0,8.0,4.0,8.0,5.0,15.0,80.0,JAN,2018,,,,,,,
GORNJI PETROVCI,57.0,16.0,9.0,3.0,16.0,9.0,23.0,133.0,JAN,2018,,,,,,,
GRAD,54.0,4.0,7.0,5.0,9.0,11.0,31.0,121.0,JAN,2018,,,,,,,
GROSUPLJE,160.0,97.0,45.0,34.0,128.0,64.0,252.0,780.0,JAN,2018,,,,,,,
HAJDINA,44.0,22.0,10.0,4.0,25.0,13.0,14.0,132.0,JAN,2018,,,,,,,
HOČE-SLIVNICA,122.0,94.0,55.0,27.0,89.0,39.0,113.0,539.0,JAN,2018,,,,,,,
HODOŠ,3.0,0.0,2.0,1.0,2.0,1.0,5.0,14.0,JAN,2018,,,,,,,
HORJUL,23.0,7.0,2.0,2.0,16.0,1.0,17.0,68.0,JAN,2018,,,,,,,
HRASTNIK,104.0,63.0,31.0,31.0,73.0,39.0,153.0,494.0,JAN,2018,,,,,,,
HRPELJE-KOZINA,43.0,22.0,11.0,11.0,26.0,10.0,34.0,157.0,JAN,2018,,,,,,,
IDRIJA,73.0,31.0,39.0,16.0,44.0,13.0,37.0,253.0,JAN,2018,,,,,,,
IG,39.0,31.0,12.0,14.0,41.0,15.0,51.0,203.0,JAN,2018,,,,,,,
ILIRSKA BISTRICA,118.0,59.0,30.0,21.0,63.0,28.0,148.0,467.0,JAN,2018,,,,,,,
IVANČNA GORICA,105.0,74.0,40.0,18.0,69.0,32.0,140.0,478.0,JAN,2018,,,,,,,
IZOLA,212.0,108.0,34.0,36.0,99.0,44.0,128.0,661.0,JAN,2018,,,,,,,
JESENICE,192.0,100.0,54.0,30.0,103.0,34.0,130.0,643.0,JAN,2018,,,,,,,
JEZERSKO,3.0,4.0,1.0,2.0,4.0,0.0,1.0,15.0,JAN,2018,,,,,,,
